N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
181,TIGER 미국S&P500,"13,265",50,-0.38%,0,"13,915","104,900",0.03,"2,330,632",N/A,N/A,
182,TIGER 단기통안채,"100,670",10,+0.01%,0,"13,865","13,773",0.86,"1,371,796",N/A,N/A,
183,현대두산인프라코어,"7,020",50,+0.72%,"1,000","13,860","197,436",9.92,"1,368,741",6.01,6.47,
184,ESR켄달스퀘어리츠,"6,500",80,+1.25%,"1,000","13,851","213,089",31.73,"789,156",50.39,1.34,
185,아시아나항공,"18,400",550,-2.90%,"5,000","13,692","74,412",7.41,"691,299",-3.16,-43.83,
186,TIGER MSCI Korea TR,"14,735",235,-1.57%,0,"13,615","92,400",5.19,"5,385",N/A,N/A,
187,롯데리츠,"5,590",50,+0.90%,500,"13,582","242,969",9.52,"334,615",34.94,1.68,
188,LS ELECTRIC,"44,900",650,+1.47%,"5,000","13,470","30,000",17.08,"154,251",16.62,6.15,
189,NHN,"35,850","1,300",-3.50%,500,"13,450","37,518",19.30,"82,593",41.40,1.35,
190,한일시멘트,"18,900",100,+0.53%,500,"13,090","69,262",2.61,"234,620",12.45,N/A,
191,PI첨단소재,"44,300",100,-0.23%,500,"13,009","29,366",11.92,"79,081",22.24,15.62,
192,진원생명과학,"16,700",400,+2.45%,"1,000","12,961","77,614",12.60,"3,132,011",-50.45,-30.43,
193,TIGER 미국테크TOP10 INDXX,"11,380",155,-1.34%,0,"12,751","112,050",0.55,"842,213",N/A,N/A,
194,명신산업,"24,300",150,-0.61%,500,"12,750","52,470",3.04,"191,187",-10.54,-67.39,
195,DL,"60,600",600,-0.98%,"5,000","12,699","20,956",12.47,"43,029",1.93,11.84,
196,한국앤컴퍼니,"13,350",0,0.00%,500,"12,674","94,935",9.68,"41,875",5.12,5.08,
197,영풍,"679,000","13,000",+1.95%,"5,000","12,507","1,842",4.10,"1,340",10.55,4.03,
198,대한전선,"1,460",115,-7.30%,100,"12,504","856,473",1.95,"26,517,173",40.56,0.92,
199,롯데관광개발,"18,050",100,+0.56%,500,"12,504","69,276",5.54,"298,313",-6.32,-30.43,
200,LX인터내셔널,"31,700","1,900",+6.38%,"5,000","12,287","38,760",24.55,"1,373,314",4.57,23.72,
